36.00,43.00,44.00,76.00,76.00
18.00,50.00,58.00,76.00,76.00
48.00,61.00,59.00,76.00,76.00
37.00,38.00,60.00,82.00,84.00
42.00,54.00,63.00,86.00,84.00
31.00,53.00,65.00,76.00,76.00
61.00,62.00,65.00,76.00,80.00
59.00,66.00,65.00,78.00,76.00
41.00,52.00,66.00,86.00,84.00
27.00,49.00,67.00,85.00,76.00
40.00,58.00,68.00,78.00,80.00
42.00,51.00,68.00,82.00,94.00
33.00,61.00,68.00,76.00,84.00
48.00,53.00,69.00,75.00,76.00
54.00,74.00,70.00,87.00,92.00
46.00,58.00,70.00,81.00,88.00
42.00,47.00,72.00,78.00,76.00
53.00,85.00,73.00,91.00,92.00
48.00,54.00,73.00,86.00,80.00
51.00,68.00,74.00,82.00,88.00
48.00,59.00,74.00,76.00,76.00
53.00,80.00,74.00,84.00,80.00
57.00,69.00,75.00,80.00,82.00
50.00,68.00,75.00,78.00,88.00
50.00,78.00,75.00,78.00,80.00
58.00,77.00,75.00,83.00,80.00
50.00,61.00,75.00,76.00,84.00
32.00,62.00,76.00,76.00,84.00
50.00,69.00,76.00,87.00,88.00
50.00,61.00,76.00,82.00,80.00
55.00,84.00,76.00,80.00,88.00
40.00,56.00,77.00,82.00,84.00
60.00,76.00,77.00,76.00,84.00
50.00,53.00,77.00,79.00,80.00
51.00,76.00,78.00,76.00,76.00
44.00,76.00,78.00,88.00,80.00
60.00,65.00,78.00,91.00,94.00
